entity,period,metric,value_numeric,reported_value_text,precision,source_url,source_location,observed_at,notes
Câmara Municipal de Salvador,2025,sessoes_realizadas,155,"155 sessões (86 ordinárias, 34 solenes, 32 especiais, 1 extraordinária, 2 itinerantes)",exact,https://www.cms.ba.gov.br/noticias/06-01-2026-camara-divulga-balanco-da-producao-legislativa-de-2025,Balanço da produção legislativa de 2025,2026-08-17,Indicador agregado de atividade legislativa.
Câmara Municipal de Salvador,2025,projetos_lei_vereadores_mesa_apresentados,580,580 projetos de lei,exact,https://www.cms.ba.gov.br/noticias/06-01-2026-camara-divulga-balanco-da-producao-legislativa-de-2025,Balanço da produção legislativa de 2025,2026-08-17,"Agregado; métricas por autor devem vir do processo legislativo, não desta notícia."
