source_system,pncp_control_number,process_number,notice_number,year,modality_id,modality_name,object,agency_cnpj,agency_name,sphere,power,unit_code,unit_name,municipality_ibge,municipality_name,uf,published_at,proposal_opening_at,proposal_closing_at,estimated_value,homologated_value,status_name,source_url,observed_at,snapshot_sha256
SEFAZ Salvador,,,005/2026,2026,,Pregão Eletrônico,Prestação de serviços de OVERHAUL,,Secretaria Municipal da Fazenda de Salvador (SEFAZ),M,E,,,2927408,Salvador,BA,,,,,,Aberta,https://www2.sefaz.salvador.ba.gov.br/transparencia/licitacoes,2026-08-17,
SEFAZ Salvador,,,006/2026,2026,,Pregão Eletrônico,Renovação de Parque Tecnológico,,Secretaria Municipal da Fazenda de Salvador (SEFAZ),M,E,,,2927408,Salvador,BA,,,,,,Aberta,https://www2.sefaz.salvador.ba.gov.br/transparencia/licitacoes,2026-08-17,
SEFAZ Salvador,,,001/2026,2026,,Pregão Eletrônico,Manutenção de motor de gerador,,Secretaria Municipal da Fazenda de Salvador (SEFAZ),M,E,,,2927408,Salvador,BA,,,,,,Aberta,https://www2.sefaz.salvador.ba.gov.br/transparencia/licitacoes,2026-08-17,
SEFAZ Salvador,,,004/2026,2026,,Pregão Eletrônico,Renovação de Parque Tecnológico,,Secretaria Municipal da Fazenda de Salvador (SEFAZ),M,E,,,2927408,Salvador,BA,,,,,,Suspensa,https://www2.sefaz.salvador.ba.gov.br/transparencia/licitacoes,2026-08-17,
